sensor_id,component,slope_per_V,intercept,r2,rmse,n_points,V_min,V_max,tag,coil
1,Bx,0.4141599999999997,-12.241199999999997,0.9995343445160638,0.049971992155606174,4,0.0,15.0,ET6VK2,r16
1,By,-0.4005199999999998,4.4758999999999975,0.9998360435200193,0.028671414335536567,4,0.0,15.0,ET6VK2,r16
1,Bz,-0.08053999999999945,25.982299999999988,0.9459406614578877,0.10763166355678108,4,0.0,15.0,ET6VK2,r16
2,Bx,0.43381999999999926,-20.585399999999993,0.9980116658465321,0.10824590061522034,4,0.0,15.0,ET6QKM,r16
2,By,-0.3796000000000002,-6.544000000000004,0.9998251473619177,0.02806243040080483,4,0.0,15.0,ET6QKM,r16
2,Bz,-0.25033999999999973,25.304299999999998,0.9999670284337635,0.008035857141586026,4,0.0,15.0,ET6QKM,r16
3,Bx,0.4273399999999995,-21.735799999999994,0.9999831652772344,0.009801785551622172,4,0.0,15.0,ET5CK4,r16
3,By,-0.24446000000000004,-4.3938,0.9998666458352372,0.015782110125075077,4,0.0,15.0,ET5CK4,r16
3,Bz,-0.10627999999999893,25.085099999999997,0.9815933748885919,0.08135754421072472,4,0.0,15.0,ET5CK4,r16
4,Bx,0.3927199999999995,-15.266899999999998,0.999114197207598,0.06536857042952669,4,0.0,15.0,D8FKL5,r16
4,By,-0.31713999999999987,2.372799999999998,0.9985585571417744,0.06735781320678398,4,0.0,15.0,D8FKL5,r16
4,Bz,-0.0695999999999989,25.679999999999993,0.9231613611416046,0.11224972160321664,4,0.0,15.0,D8FKL5,r16
5,Bx,0.0534,-30.201000000000004,0.990424878643812,0.02935132024287778,4,0.0,15.0,D8FK84,r16
5,By,-0.44638,-1.5839000000000019,0.9999342112836922,0.02024042983733316,4,0.0,15.0,D8FK84,r16
5,Bz,-0.22247999999999918,22.38809999999999,0.9941410105640869,0.09547800793900182,4,0.0,15.0,D8FK84,r16
6,Bx,-0.2390400000000005,-25.8037,0.999297967564473,0.03541821565240035,4,0.0,15.0,ET6SJ2,r16
6,By,-0.4712799999999999,5.641599999999997,0.9999809390946445,0.01150217370760833,4,0.0,15.0,ET6SJ2,r16
6,Bz,-0.3276199999999989,22.893899999999984,0.9951206383302504,0.12824459052919138,4,0.0,15.0,ET6SJ2,r16
7,Bx,-0.4974199999999999,-2.600600000000003,0.9985693600524288,0.10525053444044852,4,0.0,15.0,ET6QMT,r16
7,By,0.3134,3.5730000000000026,0.9999995112992103,0.0012247448713916353,4,0.0,15.0,ET6QMT,r16
7,Bz,-0.18509999999999943,25.2275,0.9851785619088591,0.12691680345801395,4,0.0,15.0,ET6QMT,r16
8,Bx,-0.36970000000000014,-3.477500000000003,0.9995452108119891,0.04408372715640081,4,0.0,15.0,ET6NV9,r16
8,By,0.37199999999999966,-17.4895,0.9998642223922766,0.02423324163210494,4,0.0,15.0,ET6NV9,r16
8,Bz,0.040860000000000396,22.031299999999998,0.8751794612649931,0.08626166587772194,4,0.0,15.0,ET6NV9,r16
9,Bx,-0.33712,-1.3611000000000024,0.9979050244305641,0.08634842210486553,4,0.0,15.0,ET6Q05,r16
9,By,0.2541599999999995,-14.036199999999997,0.9999047976628371,0.013863621460498759,4,0.0,15.0,ET6Q05,r16
9,Bz,0.003340000000000446,26.225199999999997,0.0355974497578152,0.09718320328122494,4,0.0,15.0,ET6Q05,r16
10,Bx,-0.39487999999999956,8.145599999999995,0.9984358419187727,0.08737162010630234,4,0.0,15.0,F47PQM,r16
10,By,-0.21559999999999996,2.1764999999999985,0.999764444304499,0.018500000000000034,4,0.0,15.0,F47PQM,r16
10,Bz,0.1118400000000004,16.857199999999995,0.9975673371887076,0.030873937228671537,4,0.0,15.0,F47PQM,r16
11,Bx,0.3534599999999997,-15.597699999999998,0.9988310666193306,0.0675949332420702,4,0.0,15.0,F47MNY,r16
11,By,-0.26483999999999985,2.9862999999999973,0.999962841534542,0.00902496537389491,4,0.0,15.0,F47MNY,r16
11,Bz,-0.03595999999999971,25.5982,0.6843274640880945,0.13653094887240755,4,0.0,15.0,F47MNY,r16
12,Bx,-0.36102,-2.561100000000001,0.9990069551068402,0.06362919927203288,4,0.0,15.0,ET5A8J,r16
12,By,0.3134199999999995,-14.826399999999998,0.9999128100337923,0.0163607762652024,4,0.0,15.0,ET5A8J,r16
12,Bz,0.027799999999999946,22.803500000000007,0.852091308412867,0.06474758682761786,4,0.0,15.0,ET5A8J,r16
13,Bx,-0.36989999999999973,10.968499999999997,0.9979942669709815,0.09270045846704364,4,0.0,15.0,F47OYK,r16
13,By,-0.09312000000000017,-9.995599999999998,0.9996447484187985,0.009813256340276988,4,0.0,15.0,F47OYK,r16
13,Bz,0.06230000000000055,18.804999999999993,0.9607481641699634,0.07039442449512677,4,0.0,15.0,F47OYK,r16
