sensor_id,component,slope_per_V,intercept,r2,rmse,n_points,V_min,V_max,tag,coil
1,Bx,0.3632199999999994,-15.507399999999992,0.997693496833479,0.09762773683743799,4,0.0,15.0,ET6VK2,r11
1,By,0.41426000000000035,16.977300000000003,0.9999309044489006,0.01925032467258651,4,0.0,15.0,ET6VK2,r11
1,Bz,-0.07611999999999915,23.25839999999999,0.9313521082931382,0.11552618750742184,4,0.0,15.0,ET6VK2,r11
2,Bx,0.2961599999999997,-16.115699999999997,0.9997911934863456,0.023925927359247597,4,0.0,15.0,ET6QKM,r11
2,By,0.37570000000000014,6.466500000000001,0.999864928386331,0.02441055099746891,4,0.0,15.0,ET6QKM,r11
2,Bz,0.050980000000000865,26.903399999999998,0.9998439619507219,0.0035601966237833902,4,0.0,15.0,ET6QKM,r11
3,Bx,0.29853999999999936,-20.874299999999995,0.9995596228931766,0.035029630314920575,4,0.0,15.0,ET5CK4,r11
3,By,0.2667000000000001,8.788000000000002,0.9999417991894904,0.011374313166077699,4,0.0,15.0,ET5CK4,r11
3,Bz,0.033940000000000366,26.42469999999999,0.7035017411601461,0.12317294751689573,4,0.0,15.0,ET5CK4,r11
4,Bx,0.34599999999999975,-18.602999999999998,0.9996328656333643,0.03706750598570122,4,0.0,15.0,D8FKL5,r11
4,By,0.33770000000000044,14.229999999999997,0.999900572218282,0.01882485059701779,4,0.0,15.0,D8FKL5,r11
4,Bz,-0.0728399999999998,23.584799999999998,0.9779019308605928,0.06121029325203441,4,0.0,15.0,D8FKL5,r11
5,Bx,0.3118399999999991,-20.74329999999999,0.9956449228430921,0.11529288789860512,4,0.0,15.0,D8FK84,r11
5,By,-0.08981999999999994,2.2598999999999996,0.9991947619397944,0.01425394682184547,4,0.0,15.0,D8FK84,r11
5,Bz,0.10524000000000071,25.910199999999996,0.9901354932146115,0.0587213760056758,4,0.0,15.0,D8FK84,r11
6,Bx,0.2737799999999997,-15.163599999999997,0.9999292750249831,0.012871480101371405,4,0.0,15.0,ET6SJ2,r11
6,By,-0.20771999999999993,5.1423999999999985,0.9996898680530546,0.020452383724153162,4,0.0,15.0,ET6SJ2,r11
6,Bz,0.10358000000000103,26.884899999999995,0.9604073722306923,0.11756561997454754,4,0.0,15.0,ET6SJ2,r11
7,Bx,-0.3396600000000001,-6.361300000000003,0.9995229899119571,0.04147981436795488,4,0.0,15.0,ET6QMT,r11
7,By,-0.3195800000000004,-9.970400000000003,0.9993413066511397,0.04586583695955024,4,0.0,15.0,ET6QMT,r11
7,Bz,-0.007999999999999586,26.071499999999997,0.11899626649212935,0.12168504427414287,4,0.0,15.0,ET6QMT,r11
8,Bx,-0.4864800000000001,-7.575400000000003,0.9999550705786046,0.018229097618916643,4,0.0,15.0,ET6NV9,r11
8,By,-0.3830800000000009,-29.363899999999994,0.9996034997865519,0.042650322390339286,4,0.0,15.0,ET6NV9,r11
8,Bz,-0.2733199999999996,16.36539999999999,0.9991945646596947,0.043379718763496104,4,0.0,15.0,ET6NV9,r11
9,Bx,-0.4379,-4.011000000000002,0.9998567762823108,0.02929803747693715,4,0.0,15.0,ET6Q05,r11
9,By,-0.2478600000000006,-25.9063,0.9998012849816891,0.01953394481409117,4,0.0,15.0,ET6Q05,r11
9,Bz,-0.1440599999999995,21.178699999999996,0.9848536672567897,0.09987029087771687,4,0.0,15.0,ET6Q05,r11
10,Bx,0.25810000000000055,27.137500000000003,0.9985967157584299,0.054086735897076424,4,0.0,15.0,F47PQM,r11
10,By,-0.46767999999999993,0.655099999999997,0.9996957756206074,0.04560756516193333,4,0.0,15.0,F47PQM,r11
10,Bz,-0.31995999999999986,8.438699999999999,0.9999942329665823,0.00429534631898288,4,0.0,15.0,F47PQM,r11
11,Bx,0.35600000000000015,-17.3255,0.9997018311354554,0.03436931771216846,4,0.0,15.0,F47MNY,r11
11,By,0.2761000000000001,15.084500000000002,0.9999284858510725,0.013052777482206967,4,0.0,15.0,F47MNY,r11
11,Bz,-0.02665999999999909,23.351699999999994,0.8230243518336264,0.06910915279469088,4,0.0,15.0,F47MNY,r11
12,Bx,-0.4809999999999999,-5.643500000000003,0.9998600132885385,0.03181587653986662,4,0.0,15.0,ET5A8J,r11
12,By,-0.31780000000000047,-26.3405,0.9999539808760045,0.012051970793194455,4,0.0,15.0,ET5A8J,r11
12,Bz,-0.19975999999999938,17.80469999999999,0.99383341997152,0.0879627762181255,4,0.0,15.0,ET5A8J,r11
13,Bx,-0.041079999999999735,23.5046,0.9656170321848233,0.04333358974283126,4,0.0,15.0,F47OYK,r11
13,By,-0.45762000000000047,-15.382599999999996,0.9997951789755326,0.036615229072067816,4,0.0,15.0,F47OYK,r11
13,Bz,-0.2331999999999997,11.261999999999997,0.9968062455642299,0.07379024325749307,4,0.0,15.0,F47OYK,r11
