sensor_id,component,slope_per_V,intercept,r2,rmse,n_points,V_min,V_max,tag
1,Bx,-0.4357599999999999,-11.723800000000004,0.999941998272418,0.018552627846209837,4,0.0,15.0,ET6VK2
1,By,-0.0102999999999999,15.357999999999999,0.9322659449199449,0.015520148195168866,4,0.0,15.0,ET6VK2
1,Bz,-0.022399999999999722,24.429499999999997,0.7825425145666209,0.0660094690177097,4,0.0,15.0,ET6VK2
2,Bx,-0.4158200000000006,-12.920600000000002,0.9992349131779579,0.06432087530498892,4,0.0,15.0,ET6QKM
2,By,0.03022000000000017,4.592599999999999,0.9864445591802962,0.019803408797477388,4,0.0,15.0,ET6QKM
2,Bz,-0.0043399999999993374,27.2433,0.17062777425489106,0.05348901756435782,4,0.0,15.0,ET6QKM
3,Bx,-0.5865000000000002,-20.550500000000003,0.9999413143694057,0.02511722516521351,4,0.0,15.0,ET5CK4
3,By,0.0319400000000001,6.9287,0.9886628250676928,0.019120015690370456,4,0.0,15.0,ET5CK4
3,Bz,-0.042679999999999337,26.598100000000002,0.9997356843667403,0.003879432948253205,4,0.0,15.0,ET5CK4
4,Bx,-0.5534800000000007,-18.942399999999996,0.9996764592066494,0.05566237508407302,4,0.0,15.0,D8FKL5
4,By,-0.013439999999999619,13.2643,0.841220520844972,0.03264123159441181,4,0.0,15.0,D8FKL5
4,Bz,-0.022819999999999896,23.778400000000005,0.90404949810945,0.0415592949892074,4,0.0,15.0,D8FKL5
5,Bx,-0.2093200000000006,-22.008100000000006,0.9980551905866574,0.05165317028024581,4,0.0,15.0,D8FK84
5,By,0.4367599999999999,2.6363000000000034,0.9998149297804055,0.03321821789319823,4,0.0,15.0,D8FK84
5,Bz,-0.026739999999998966,25.67429999999999,0.954829112216804,0.03251268983027887,4,0.0,15.0,D8FK84
6,Bx,0.04255999999999959,-14.761199999999993,0.9430989670109958,0.05843971252496054,4,0.0,15.0,ET6SJ2
6,By,0.3773799999999999,5.116900000000005,0.9996807718977853,0.037698474770207775,4,0.0,15.0,ET6SJ2
6,Bz,-0.0016399999999997426,26.8073,0.09210958904109678,0.028782807368288567,4,0.0,15.0,ET6SJ2
7,Bx,0.4839399999999996,-10.984799999999996,0.9988651460642535,0.09118703306940124,4,0.0,15.0,ET6QMT
7,By,-0.043820000000000074,-7.975599999999997,0.998657356506797,0.008981926296735863,4,0.0,15.0,ET6QMT
7,Bz,-0.008419999999999424,26.39939999999999,0.568781990597389,0.040983838278032377,4,0.0,15.0,ET6QMT
8,Bx,0.41561999999999977,-5.236399999999997,0.9995310431838069,0.050325689265026397,4,0.0,15.0,ET6NV9
8,By,0.034280000000000005,-27.978600000000004,0.9924785308405913,0.016682325976913066,4,0.0,15.0,ET6NV9
8,Bz,-0.0034399999999998807,17.767800000000005,0.32769162605227076,0.027544509434732058,4,0.0,15.0,ET6NV9
9,Bx,0.5565999999999998,-5.6779999999999955,0.9993574250758284,0.0788986691902972,4,0.0,15.0,ET6Q05
9,By,0.0511399999999994,-24.5933,0.9975092206588527,0.014285482140971207,4,0.0,15.0,ET6Q05
9,Bz,-0.009779999999999319,22.147099999999995,0.735541918516138,0.03278223604332029,4,0.0,15.0,ET6Q05
10,Bx,-0.09791999999999927,26.589899999999997,0.9927867407635044,0.04665886839605118,4,0.0,15.0,F47PQM
10,By,0.38097999999999993,0.20740000000000244,0.9997132147791504,0.03607180339267771,4,0.0,15.0,F47PQM
10,Bz,0.005100000000000196,10.035499999999999,0.984406933615927,0.0035881750236017606,4,0.0,15.0,F47PQM
11,Bx,-0.5765200000000005,-16.2846,0.999657920762551,0.059617950316995814,4,0.0,15.0,F47MNY
11,By,-0.0059799999999997425,14.1186,0.9936204501250352,0.002678619047195683,4,0.0,15.0,F47MNY
11,Bz,-0.04551999999999966,23.921899999999994,0.9460990265373601,0.06073755016462142,4,0.0,15.0,F47MNY
12,Bx,1.048939999999999,-13.71929999999999,0.8029373189780745,2.904939082838055,4,0.0,15.0,ET5A8J
12,By,0.0306799999999992,-24.5861,0.7604661383937207,0.09625512973343332,4,0.0,15.0,ET5A8J
12,Bz,0.023520000000000374,18.755599999999994,0.3796047430830066,0.16808569243097357,4,0.0,15.0,ET5A8J
13,Bx,0.61508,14.8424,0.6542164019636497,2.499758748359529,4,0.0,15.0,F47OYK
13,By,0.44832,-15.0814,0.9999724890529357,0.013145341380123998,4,0.0,15.0,F47OYK
13,Bz,0.03758000000000034,12.1139,0.6360764630480547,0.15890303647193177,4,0.0,15.0,F47OYK
