sensor_id,component,slope_per_V,intercept,r2,rmse,n_points,V_min,V_max,tag
1,Bx,0.3871599999999995,-17.867699999999992,0.9989634384638556,0.06971692764314881,4,0.0,15.0,ET6VK2
1,By,-0.3874599999999999,15.358699999999999,0.9999987050829477,0.0024647515087729086,4,0.0,15.0,ET6VK2
1,Bz,-0.06131999999999994,24.095400000000005,0.9855709489850054,0.041476499370125,4,0.0,15.0,ET6VK2
2,Bx,0.4394999999999996,-20.039499999999997,0.9991577415294411,0.07133284657154802,4,0.0,15.0,ET6QKM
2,By,-0.36903999999999987,4.681299999999997,0.9999409215521268,0.01585717503214242,4,0.0,15.0,ET6QKM
2,Bz,-0.24431999999999918,27.04439999999999,0.9977245321619832,0.06522499520889255,4,0.0,15.0,ET6QKM
3,Bx,0.42245999999999917,-19.997699999999988,0.9998910740450768,0.024649036492325964,4,0.0,15.0,ET5CK4
3,By,-0.23749999999999968,7.079499999999997,0.9999402229640894,0.01026523258382397,4,0.0,15.0,ET5CK4
3,Bz,-0.12559999999999913,26.779999999999994,0.9980412898131887,0.031104662029991216,4,0.0,15.0,ET5CK4
4,Bx,0.37725999999999954,-16.899199999999993,0.9999622118904309,0.01296437426179837,4,0.0,15.0,D8FKL5
4,By,-0.3095799999999998,13.324100000000003,0.9999882555362427,0.005930851540883769,4,0.0,15.0,D8FKL5
4,Bz,-0.05479999999999978,24.086000000000002,0.9982554861768557,0.012806248474864841,4,0.0,15.0,D8FKL5
5,Bx,0.05353999999999963,-19.872299999999996,0.9512571455498634,0.06775009225086052,4,0.0,15.0,D8FK84
5,By,-0.44226,2.536199999999997,0.9999585157662634,0.015924038432508236,4,0.0,15.0,D8FK84
5,Bz,-0.20653999999999959,25.9723,0.9992151648595561,0.03235853828589971,4,0.0,15.0,D8FK84
6,Bx,-0.19702000000000047,-19.7096,0.9967766347051078,0.06263126216195869,4,0.0,15.0,ET6SJ2
6,By,-0.4621199999999998,4.739899999999997,0.999991451451399,0.007553145040312635,4,0.0,15.0,ET6SJ2
6,Bz,-0.30115999999999965,26.619199999999996,0.9992607853912832,0.045789736841348946,4,0.0,15.0,ET6SJ2
7,Bx,-0.52326,-10.0838,0.9993878338135378,0.07239526918245466,4,0.0,15.0,ET6QMT
7,By,0.3102399999999998,-8.192299999999998,0.9996458936988138,0.03264123159441157,4,0.0,15.0,ET6QMT
7,Bz,-0.17399999999999893,26.548999999999985,0.9980553151291419,0.04293599888205689,4,0.0,15.0,ET6QMT
8,Bx,-0.45832000000000017,-12.727100000000007,0.9892711517408482,0.2668165099839214,4,0.0,15.0,ET6NV9
8,By,0.36551999999999907,-28.080899999999993,0.9996018377877738,0.04078051005075811,4,0.0,15.0,ET6NV9
8,Bz,0.027240000000000493,17.15919999999999,0.8573797616956795,0.062106360382813953,4,0.0,15.0,ET6NV9
9,Bx,-0.34336000000000017,-4.679300000000002,0.9997057392779995,0.032930988445535346,4,0.0,15.0,ET6Q05
9,By,0.24661999999999887,-24.627399999999994,0.9997992294986533,0.01953650429324603,4,0.0,15.0,ET6Q05
9,Bz,0.010380000000000443,22.256399999999996,0.4528788197217366,0.06377832703983449,4,0.0,15.0,ET6Q05
10,Bx,-0.33187999999999956,22.014099999999996,0.9987618379541404,0.0653226606929014,4,0.0,15.0,F47PQM
10,By,-0.21489999999999998,0.33249999999999863,0.9996984150685789,0.020865641614865288,4,0.0,15.0,F47PQM
10,Bz,0.0969400000000003,9.6062,0.9936470797718537,0.04333099352657434,4,0.0,15.0,F47PQM
11,Bx,0.33683999999999975,-15.2793,0.9997477976172098,0.029907356954434656,4,0.0,15.0,F47MNY
11,By,-0.25295999999999963,14.369199999999992,0.9998898927879776,0.014839137441239126,4,0.0,15.0,F47MNY
11,Bz,-0.044059999999999315,24.036699999999993,0.9671648423916017,0.04538254069573471,4,0.0,15.0,F47MNY
12,Bx,-0.4065400000000003,-9.178199999999999,0.9992609153149524,0.06180675529422311,4,0.0,15.0,ET5A8J
12,By,0.30303999999999975,-24.976800000000004,0.9999912189431092,0.005019960159204006,4,0.0,15.0,ET5A8J
12,Bz,0.017580000000000363,18.9269,0.840142227248273,0.042868111691558,4,0.0,15.0,ET5A8J
13,Bx,-0.3609599999999994,19.722199999999994,0.9998578903457155,0.024056184236075622,4,0.0,15.0,F47OYK
13,By,-0.09210000000000043,-15.482499999999996,0.9988003670961464,0.017843065880056453,4,0.0,15.0,F47OYK
13,Bz,0.05512000000000023,12.571100000000001,0.9801374547387818,0.04386399434616054,4,0.0,15.0,F47OYK
