sensor_id,component,slope_per_V,intercept,r2,rmse,n_points,V_min,V_max,tag
1,Bx,0.23499999999999965,-12.645499999999995,0.9998434287737069,0.016439282222773306,4,0.0,15.0,ET6VK2
1,By,0.13174000000000027,15.439199999999996,0.99862443520563,0.027332672756243834,4,0.0,15.0,ET6VK2
1,Bz,0.3116199999999999,24.565600000000007,0.9999987889665212,0.001917028951267459,4,0.0,15.0,ET6VK2
2,Bx,0.21177999999999952,-13.726599999999998,0.9996610883784669,0.021798509123332237,4,0.0,15.0,ET6QKM
2,By,0.046839999999999986,4.669200000000001,0.9835219101788463,0.03389247704137287,4,0.0,15.0,ET6QKM
2,Bz,0.3140400000000014,27.47319999999999,0.9984712447196638,0.06869279438194431,4,0.0,15.0,ET6QKM
3,Bx,0.24255999999999936,-18.309699999999992,0.9997403868152173,0.021850629281555664,4,0.0,15.0,ET5CK4
3,By,0.056120000000000295,7.303099999999998,0.9927871448673784,0.02674041884488742,4,0.0,15.0,ET5CK4
3,Bz,0.22961999999999974,27.022100000000005,0.9969892614794267,0.07053846468417065,4,0.0,15.0,ET5CK4
4,Bx,0.2301199999999999,-13.198399999999998,0.9964607093303796,0.07666681159406635,4,0.0,15.0,D8FKL5
4,By,0.11620000000000016,13.562000000000001,0.9971605998070436,0.03466266002487434,4,0.0,15.0,D8FKL5
4,Bz,0.2600000000000002,24.384,0.9997191321633425,0.024361855430160125,4,0.0,15.0,D8FKL5
5,Bx,0.08905999999999951,-20.61069999999999,0.9755907590207004,0.0787500793650388,4,0.0,15.0,D8FK84
5,By,-0.1950399999999999,2.5517999999999983,0.9993037978407814,0.028778464170278524,4,0.0,15.0,D8FK84
5,Bz,0.2367600000000006,26.0223,0.9998347904629948,0.017013230145977186,4,0.0,15.0,D8FK84
6,Bx,-0.033840000000000425,-14.794699999999997,0.8206952303961202,0.08842199952500496,4,0.0,15.0,ET6SJ2
6,By,-0.21339999999999987,4.841499999999998,0.9998340180454879,0.015370426148939428,4,0.0,15.0,ET6SJ2
6,Bz,0.2792400000000005,27.0042,0.9994336980813431,0.037157771730824136,4,0.0,15.0,ET6SJ2
7,Bx,-0.28408000000000017,-4.3294,0.9983736129659662,0.0640960217174201,4,0.0,15.0,ET6QMT
7,By,-0.05402000000000004,-8.1606,0.9975477671951307,0.014972474745344763,4,0.0,15.0,ET6QMT
7,Bz,0.24748000000000014,26.6779,0.9971075548039712,0.07451207955761273,4,0.0,15.0,ET6QMT
8,Bx,-0.3360200000000001,-5.5641000000000025,0.9936562893914596,0.15008722463954097,4,0.0,15.0,ET6NV9
8,By,-0.23558000000000048,-28.208400000000008,0.9998647051678496,0.015319105718023801,4,0.0,15.0,ET6NV9
8,Bz,0.28468000000000027,17.6199,0.9998550900007362,0.019158549005600715,4,0.0,15.0,ET6NV9
9,Bx,-0.2984399999999999,-2.1672,0.9992580220509298,0.045460972272928904,4,0.0,15.0,ET6Q05
9,By,-0.15032000000000045,-24.612600000000004,0.9998126753513753,0.011502173707607349,4,0.0,15.0,ET6Q05
9,Bz,0.21142,22.440599999999993,0.9964768146853515,0.0702757070402005,4,0.0,15.0,ET6Q05
10,Bx,0.33354000000000067,27.960200000000007,0.9997897554509645,0.027038398621219803,4,0.0,15.0,F47PQM
10,By,-0.3016999999999999,0.12399999999999842,0.999891599461372,0.017560609328835904,4,0.0,15.0,F47PQM
10,Bz,0.2299400000000003,9.890200000000002,0.9997621555397334,0.01982611913612917,4,0.0,15.0,F47PQM
11,Bx,0.2466999999999997,-13.466499999999996,0.9975255303632595,0.06868678912279969,4,0.0,15.0,F47MNY
11,By,0.09816000000000075,14.372799999999994,0.9970456757991775,0.029869717106126077,4,0.0,15.0,F47MNY
11,Bz,0.22102000000000072,24.144099999999998,0.9990427646100716,0.03824493430508191,4,0.0,15.0,F47MNY
12,Bx,-0.33604,-3.707700000000001,0.9986265220795182,0.06966670653906358,4,0.0,15.0,ET5A8J
12,By,-0.1934800000000003,-25.300400000000003,0.9999467471642117,0.007893034904267944,4,0.0,15.0,ET5A8J
12,Bz,0.23953999999999973,19.2112,0.9980176779303052,0.05967893263120489,4,0.0,15.0,ET5A8J
13,Bx,0.07426000000000015,23.3088,0.9966999746602357,0.023886711787100265,4,0.0,15.0,F47OYK
13,By,-0.3588000000000004,-15.461499999999997,0.999865232200445,0.02328626204438946,4,0.0,15.0,F47OYK
13,Bz,0.21824,12.806200000000004,0.998935088878501,0.03983340306827915,4,0.0,15.0,F47OYK
