00:01,ET6VK2,-25.135,15.448,23.030
00:02,ET6QKM,-17.841,4.601,26.453
00:03,ET5CK4,-24.179,6.887,25.978
00:04,D8FKL5,-22.987,13.157,23.241
00:05,D8FK84,-23.372,5.191,25.023
00:06,ET6SJ2,-14.686,8.702,26.299
00:07,ET6QMT,-7.173,-7.992,25.793
00:08,ET6NV9,0.000,-28.081,17.116
00:09,ET6Q05,-1.888,-24.525,21.652
00:10,F47PQM,19.094,4.291,8.743
00:11,F47MNY,-19.488,14.241,23.267
00:12,ET5A8J,-7.563,-24.731,18.396
00:13,F47OYK,18.829,-12.498,11.766
00:14,D8FKR0,--,--,--
00:15,GPFH0S,--,--,--
00:16,F47PPB,--,--,--
