00:01,ET6VK2,-16.384,16.944,23.338
00:02,ET6QKM,-16.620,6.404,26.633
00:03,ET5CK4,-20.917,8.672,26.189
00:04,D8FKL5,-19.469,14.209,23.518
00:05,D8FK84,-21.511,1.991,25.960
00:06,ET6SJ2,-16.644,5.081,26.809
00:07,ET6QMT,-7.085,-9.903,25.841
00:08,ET6NV9,-8.436,-29.356,16.337
00:09,ET6Q05,-4.417,-25.869,21.001
00:10,F47PQM,26.151,0.507,8.540
00:11,F47MNY,-17.641,15.061,23.302
00:12,ET5A8J,-6.593,-26.275,17.631
00:13,F47OYK,21.924,-15.481,11.180
00:14,D8FKR0,--,--,--
00:15,GPFH0S,--,--,--
00:16,F47PPB,--,--,--
