00:01,ET6VK2,0.093,-8.410,32.446
00:02,ET6QKM,-0.900,-24.046,28.824
00:03,ET5CK4,-7.893,-15.141,28.257
00:04,D8FKL5,-3.457,-8.162,31.398
00:05,D8FK84,-42.920,-20.496,21.938
00:06,ET6SJ2,-48.989,-10.424,21.806
00:07,ET6QMT,-17.836,17.484,28.939
00:08,ET6NV9,-15.298,-8.389,30.136
00:09,ET6Q05,-11.776,-7.179,31.724
00:10,F47PQM,6.296,-5.281,25.432
00:11,F47MNY,-5.053,-5.918,30.809
00:12,ET5A8J,-12.820,-6.788,30.043
00:13,F47OYK,1.680,-14.334,25.243
00:14,D8FKR0,--,--,--
00:15,GPFH0S,--,--,--
00:16,F47PPB,--,--,--
