00:01,ET6VK2,-14.820,4.461,26.026
00:02,ET6QKM,-17.159,-6.315,25.498
00:03,ET5CK4,-25.975,-4.026,24.798
00:04,D8FKL5,-18.862,2.244,25.348
00:05,D8FK84,-31.714,2.283,22.246
00:06,ET6SJ2,-25.404,8.913,22.691
00:07,ET6QMT,1.958,3.385,25.291
00:08,ET6NV9,0.144,-17.075,22.321
00:09,ET6Q05,4.190,-13.538,26.321
00:10,F47PQM,14.672,5.176,17.376
00:11,F47MNY,-20.926,2.873,25.080
00:12,ET5A8J,2.738,-14.396,23.162
00:13,F47OYK,14.621,-6.017,19.413
00:14,D8FKR0,20.541,13.872,-39.767
00:15,GPFH0S,68.090,-4.750,-10.765
00:16,F47PPB,1.443,59.087,-13.658
