00:01,ET6VK2,-14.871,3.531,24.798
00:02,ET6QKM,-16.152,-6.642,24.543
00:03,ET5CK4,-20.875,-3.993,24.376
00:04,D8FKL5,-15.396,1.851,24.526
00:05,D8FK84,-31.612,-0.223,20.522
00:06,ET6SJ2,-26.058,6.961,21.419
00:07,ET6QMT,-1.090,3.266,25.269
00:08,ET6NV9,-2.325,-16.876,21.129
00:09,ET6Q05,0.821,-13.529,25.287
00:10,F47PQM,15.813,2.408,16.214
00:11,F47MNY,-15.744,2.971,24.257
00:12,ET5A8J,-0.237,-13.622,22.356
00:13,F47OYK,14.996,-8.663,18.044
00:14,D8FKR0,42.892,-0.238,-21.195
00:15,GPFH0S,-15.180,-45.412,-11.688
00:16,F47PPB,-1.861,32.530,-14.797
