sensor_id,Bx_residual,By_residual,Bz_residual
1,-3.8766960947205096,-3.5219338018262256,0.4527191706442615
2,3.046330516505641,1.5168341904198357,-1.4641511974894996
3,-8.095019702285546,2.919614073977404,0.5169796311777084
4,-2.9464768324078925,-2.240580805278384,-1.1598790657975648
5,-7.7638193114950536,0.4922572461546597,0.35664506461469614
6,0.511494723139382,-1.7165607964688068,1.2972866445949762
7,-6.622023100738229,-3.433680610205644,-0.9506022708600241
8,-1.9961276528897471,-1.552381697423968,1.2985409847873317
9,-3.057432322429761,-2.8531962052385538,0.30215956181830705
10,-1.8492936535500242,-1.039342083493644,0.04612579841167452
11,-7.149533504496759,0.2496724293539181,-0.5706056212180961
12,-1.00441023443818,-0.4709085277961229,2.153380557749415
13,-4.902201183877711,-4.355097443894637,-2.5801785740470784
