sensor_id,Bx_residual,By_residual,Bz_residual
1,-10.324431879614146,2.099235435774622,1.09911235141481
2,-14.318729343603156,3.4026428234147064,0.2591628159001331
3,-14.794589801821672,2.949268796259638,-1.5760475572942774
4,-16.119404120079086,0.315692350058411,1.020208302406985
5,-14.790219107209865,2.4643168764884504,-0.48604406485041807
6,-5.690010823926247,0.7891877875208513,1.768937004150434
7,-11.41299815077169,-5.277365383200803,-0.2697533962712413
8,-15.987643868216061,-6.451482935828622,-1.104426030268403
9,-10.744498496838986,-4.424989947558686,2.585643271271838
10,-5.308363900267523,-2.516051258960603,0.21037827890773997
11,-12.096554529618077,1.7613420925693646,0.36980844194097884
12,-12.36243919902725,-3.3083515242892183,-0.33225948494484925
13,-6.856846387610659,-7.014567494010981,-0.09320164261268893
