coil,V
r1,9.682924226223209
r3,5.700568578113293e-25
r4,5.01812398247176e-19
r5,3.433382407158882e-18
r6,1.469425984355495e-17
r7,8.02094373391255
r8,14.999999999999998
r9,14.999999999999998
r10,14.999999999999998
r11,9.813836959695514e-24
r12,8.437391140551142e-19
r13,6.422947790419611e-19
r14,2.375953285122681e-21
r15,0.7325364539025374
r16,14.999999999999998
c2,4.08320661655915
c3,4.215110053231379
