00:01,ET6VK2,-12.927,2.792,25.599
00:02,ET6QKM,-16.556,-8.323,24.596
00:03,ET5CK4,-20.903,-6.136,24.380
00:04,D8FKL5,-16.296,0.328,25.309
00:05,D8FK84,-32.819,-2.011,20.592
00:06,ET6SJ2,-27.640,5.930,21.446
00:07,ET6QMT,-3.383,5.394,25.203
00:08,ET6NV9,-3.916,-15.809,22.075
00:09,ET6Q05,-1.670,-12.170,25.969
00:10,F47PQM,15.038,2.003,17.336
00:11,F47MNY,-16.797,1.281,25.265
00:12,ET5A8J,-2.840,-13.195,23.104
00:13,F47OYK,11.656,-9.163,19.532
00:14,D8FKR0,-29.682,-8.815,-37.963
00:15,GPFH0S,3.700,-66.406,-10.361
00:16,F47PPB,-8.941,57.586,-9.271
