00:01,ET6VK2,-18.987,15.380,23.914
00:02,ET6QKM,-12.830,4.649,27.368
00:03,ET5CK4,-20.537,7.015,26.611
00:04,D8FKL5,-17.869,13.255,23.848
00:05,D8FK84,-20.973,2.554,25.859
00:06,ET6SJ2,-22.179,5.155,26.369
00:07,ET6QMT,-11.452,-8.061,26.268
00:08,ET6NV9,-4.533,-28.146,17.609
00:09,ET6Q05,-5.215,-24.531,22.114
00:10,F47PQM,20.574,0.566,9.460
00:11,F47MNY,-15.989,14.280,23.940
00:12,ET5A8J,-10.936,-24.806,18.779
00:13,F47OYK,18.472,-15.281,12.377
00:14,D8FKR0,--,--,--
00:15,GPFH0S,--,--,--
00:16,F47PPB,--,--,--
