00:01,ET6VK2,-11.985,9.545,23.144
00:02,ET6QKM,-13.451,-0.837,23.346
00:03,ET5CK4,-13.646,3.507,24.917
00:04,D8FKL5,-11.247,8.678,23.254
00:05,D8FK84,-19.029,-4.083,22.858
00:06,ET6SJ2,-22.620,-2.199,22.145
00:07,ET6QMT,-17.948,-3.564,23.892
00:08,ET6NV9,-19.817,-22.585,17.565
00:09,ET6Q05,-9.855,-20.914,22.475
00:10,F47PQM,16.968,-2.879,11.092
00:11,F47MNY,-10.250,10.591,23.329
00:12,ET5A8J,-15.344,-20.428,19.228
00:13,F47OYK,14.282,-16.852,13.372
00:14,D8FKR0,--,--,--
00:15,GPFH0S,--,--,--
00:16,F47PPB,--,--,--
