00:01,ET6VK2,-18.588,15.410,23.962
00:02,ET6QKM,-12.602,4.691,27.324
00:03,ET5CK4,-20.305,7.018,26.796
00:04,D8FKL5,-17.511,13.285,23.888
00:05,D8FK84,-20.764,2.482,25.912
00:06,ET6SJ2,-22.351,5.006,26.290
00:07,ET6QMT,-11.447,-8.076,26.299
00:08,ET6NV9,-4.812,-28.089,17.745
00:09,ET6Q05,-5.280,-24.537,22.282
00:10,F47PQM,20.820,0.417,9.583
00:11,F47MNY,-15.790,14.307,23.861
00:12,ET5A8J,-10.756,-24.817,18.929
00:13,F47OYK,19.154,-15.430,12.426
00:14,D8FKR0,--,--,--
00:15,GPFH0S,--,--,--
00:16,F47PPB,--,--,--
